"company_code","request_number","request_user_id","work_type_kbn","scheduled_work_day","work_time_kbn","dayoff_exchanged","dayoff_time_kbn","dayoff_reason_kbn","remark","registration_user","registration_datetime","update_user","update_datetime"
"000001","20231115105006296000001177","177","023","20231009","010","20231208","010","001","","177","2023-11-21 13:02:33","177","2023-11-21 13:02:33"
"000001","20231127101907245000001212","212","023","20231125","010","20231114","010","001","",SysAdmin_ChoYo,"2023-11-27 11:52:13",SysAdmin_ChoYo,"2023-11-27 11:52:13"
"000001","20231129101907245000001122","122","023","20210123","010","20231129","010","001","",SysAdmin_ChoYo,"2023-11-29 13:04:41",SysAdmin_ChoYo,"2023-11-29 13:04:41"
"000001","20231201092327126000001227","227","023","20231105","010","20231204","010","002","","227","2023-12-01 09:23:28","227","2023-12-01 09:23:28"
"000001","20231201114726005000001211","211","023","20231105","010","20231204","010","002","","211","2023-12-25 11:41:26","211","2023-12-25 11:41:26"
"000001","20231203180526631000001165","165","023","20231202","010","20231204","010","003","","165","2023-12-03 18:05:26","165","2023-12-03 18:05:26"
"000001","20231213101907245999991228","228","023","20230503","010","20240104","010","001","",SysAdmin_ChoYo,"2023-12-13 17:57:22",SysAdmin_ChoYo,"2023-12-13 17:57:22"
"000001","20231223090347057000001222","222","023","20231223","010","20240507","010","001","","222","2023-12-23 09:03:46","222","2023-12-23 09:03:46"
"000001","20231227150825202000001207","207","023","20231223","010","20240104","010","001","","207","2023-12-27 15:08:25","207","2023-12-27 15:08:25"
"000001","20231227150845681000001207","207","023","20231229","010","20240105","010","001","","207","2023-12-27 15:08:45","207","2023-12-27 15:08:45"
"000001","20231228103747805000001177","177","023","20231223","021","20240116","020","001","","177","2023-12-28 10:40:32","177","2023-12-28 10:40:32"
"000001","20231228104143439000001177","177","023","20231224","010","20240115","010","001","","177","2023-12-28 10:41:43","177","2023-12-28 10:41:43"
"000001","20231228132155058000001234","234","023","20231229","010","20240119","010","001","","234","2023-12-28 13:21:53","234","2023-12-28 13:21:53"
"000001","20231231183648204000001211","211","023","20231203","010","20231225","010","002",ＡＴＭ移行リハーサル,"211","2024-01-04 08:36:08","211","2024-01-04 08:36:08"
"000001","20231231200840650000001227","227","023","20231203","010","20231225","010","002","","227","2023-12-31 20:08:41","227","2023-12-31 20:08:41"
"000001","20240104072257153000001227","227","023","20231231","010","20240201","010","002","","227","2024-01-04 07:22:57","227","2024-01-04 07:22:57"
"000001","20240104073127936000001211","211","023","20231231","010","20240201","010","002",ATMシステム本番移行作業,"211","2024-01-04 08:49:36","211","2024-01-04 08:49:36"
"000001","20240104115710602000001171","171","023","20231229","010","20240104","010","002","","171","2024-01-04 11:57:10","171","2024-01-04 11:57:10"
"000001","20240109102337217000001051","051","023","20231119","020","20231213","020","002",休日リリースのため,"051","2024-01-09 10:23:37","051","2024-01-09 10:23:37"
"000001","20240115091650121000001210","210","023","20231209","010","20240128","010","002","","210","2024-01-15 09:16:47","210","2024-01-15 09:16:47"
"000001","20240115113310807000001210","210","023","20231209","010","20231228","010","002","","210","2024-01-15 11:33:07","210","2024-01-15 11:33:07"
"000001","20240117115510498000001219","219","023","20240120","020","20240115","020","099","","219","2024-01-17 11:55:12","219","2024-01-17 11:55:12"
"000001","20240126212258475000001234","234","023","20240127","010","20240202","010","001","","234","2024-01-26 21:22:56","234","2024-01-26 21:22:56"
"000001","20240130094257138000001227","227","023","20240103","010","20240202","010","002","","227","2024-01-30 09:42:58","227","2024-01-30 09:42:58"
"000001","20240201011521517000001051","051","023","20231229","010","20240104","010","003","","051","2024-02-01 01:15:21","051","2024-02-01 01:15:21"
"000001","20240201011700984000001051","051","023","20231118","010","20240105","010","002","","051","2024-02-01 01:17:00","051","2024-02-01 01:17:00"
"000001","20240203155649147000001211","211","023","20240103","010","20240202","010","002",ATMシステム本番稼働監視,"211","2024-02-03 15:56:49","211","2024-02-03 15:56:49"
"000001","20240210160236207000001234","234","023","20240211","010","20240408","010","001","","234","2024-02-10 16:02:40","234","2024-02-10 16:02:40"
"000001","20240210160304125000001234","234","023","20240212","010","20240409","010","001","","234","2024-02-10 16:03:08","234","2024-02-10 16:03:08"
"000001","20240220090745544000001238","238","023","20240223","010","20240301","010","099",私用があり、１日帰国させて頂きます。,"238","2024-02-20 09:07:46","238","2024-02-20 09:07:46"
"000001","20240220233438762000001130","130","023","20240217","010","20240222","010","002",日立インシデントB票の進捗状況を進めるため2/17（土）に出勤した。,"130","2024-02-21 00:34:39","130","2024-02-21 00:34:39"
"000001","20240226090545792000001081","081","023","20240217","010","20240321","010","099",本番作業,"081","2024-02-26 09:07:25","081","2024-02-26 09:07:25"
"000001","20240227204223549000001176","176","023","20240211","010","20240219","010","002","","176","2024-02-27 20:44:14","176","2024-02-27 20:44:14"
"000001","20240227204322680000001176","176","023","20240212","010","20240315","010","002","","176","2024-02-27 20:44:05","176","2024-02-27 20:44:05"
"000001","20240301092417221000001161","161","023","20240303","010","20240312","010","001","","161","2024-03-01 09:24:15","161","2024-03-01 09:24:15"
"000001","20240307130540756000001228","228","023","20240316","010","20240614","010","002",大東建託4.2次リリース(仮申請5/7→6/14),"228","2024-03-07 13:05:41",SysAdmin_ChoYo,"2024-05-09 13:05:41"
"000001","20240307130623893000001228","228","023","20240317","010","20240426","010","002",大東建託4.2次リリース,"228","2024-03-07 13:06:24","228","2024-03-07 13:06:24"
"000001","20240309104013638000001234","234","023","20240309","010","20240312","010","002","","234","2024-03-09 10:40:12","234","2024-03-09 10:40:12"
"000001","20240311153520895000001234","234","023","20240316","010","20240319","010","002","","234","2024-03-11 15:35:18","234","2024-03-11 15:35:18"
"000001","20240311153550673000001234","234","023","20240323","010","20240326","010","002","","234","2024-03-11 15:35:48","234","2024-03-11 15:35:48"
"000001","20240314125649601000001121","121","023","20240316","010","20240816","010","002",仮登録（To Be Determined）2025/3/17⇒2024/8/16,"121","2024-03-14 12:56:50",SysAdmin_Cho,"2024-07-23 12:56:50"
"000001","20240314125730895000001121","121","023","20240320","010","20250320","010","002",仮登録（To Be Determined）,"121","2024-03-20 07:10:48","121","2024-03-20 07:10:48"
