"company_code","user_id","resume_ver_kbn","nearest_station","graduation_ym","degree","school_name","major","certification1","certification2","certification3","certification4","certification5","certification6","experience_years","responsible","lg_jp_business_con","lg_jp_daily_con","lg_jp_reading","lg_jp_listening","lg_jp_writting","lg_en_business_con","lg_en_daily_con","lg_en_reading","lg_en_listening","lg_en_writting","tc_os_windows","tc_os_unix","tc_os_solaris","tc_os_hpux","tc_os_aix","tc_os_linux","tc_os_dos","tc_os_mac","tc_pg_cobol","tc_pg_java","tc_pg_jsp","tc_pg_c","tc_pg_vb","tc_pg_vc","tc_pg_sql","tc_pg_net","tc_pg_perl","tc_pg_xml","tc_db_oracle","tc_db_hirdb","tc_db_sqlserver","tc_db_db2","tc_db_mysql","tc_db_postgresql","tc_db_access","tc_etc_weblogic","tc_etc_j2ee","tc_etc_websphere","tc_etc_tomcat","tc_etc_jp1","tc_etc_cosminexus","tc_etc_xamarin","remarks","del_flg","reg_account","reg_time","upd_account","upd_time"
"000001","199",V1.0,西国立,"200506",学士,大連職業技術学院,コンピューター,AWS Certified Solutions Architect - Associate国際証書,コンピュータ技術とソフトウェアの専門技術資格（中級）ネットワークエンジニア,,Red Hat Certified Engineer国際証書,日本語能力試験三級証書,,5.0,"003","003","003","004","003","004","002","001","002","001","001","001","001","001","001","001","001","001","002","004","004","004","003","004","004","003","004","004","004","002","003","002","003","002","002","003","002","004","002","002","002","002","003","【インフラ経験】： 15年
【日 本  語】：  2級相当
【開発環境】： 言   語： Shell、PowerSｈell、SQL
　　　　　　　　   D    B ： Oracle、MySQL
【工　　　程】： 構築～テスト、運用保守
【業務分野】： 金融、通信
【自 己 PR】： 
                 ・インフラの導入構築、運用保守のプロです。
                 ・OSのインストールから対応できます。
                 ・AWS/Azureクラウドの計画と部署です。
                 ・AWS/Azureクラウド、shell、Linuxが得意です。
　　　　　　　　　・AWS Certified Solutions Architect - Associate国際証書を持っています。
　　　　　　　　　・Red Hat Certified Engineer国際証書を持っています。
                 ・日本語能力試験三級証書。","0","199","2022-08-15 00:49:00","199","2022-08-15 00:49:00"
"000001","202","1.0",JR:千早,"200507",学士,ハルビン工程大学,情報処理,AWS Solutions Architect Associate(SAA),Azure Administrator(AZ-104),,,,,18.0,,"004","004","004","004","004","004","004","004","004","004","001","003","004","004","004","002","003","002","003","001","001","003","001","003","001","001","004","002","001","003","001","003","001","001","002","001","001","002","001","004","004","002",社員ID202：更新しました。,"0","202","2024-03-29 13:54:38","202","2024-03-29 13:54:38"
"000001","207","1.0",西新駅,"201203",なし,犬山市立犬山中学校卒業,,高等学校卒業程度認定試験,,,,,,3.0,"003","005","005","005","005","005","001","001","002","001","001","002","004","004","004","004","004","004","002","004","004","004","004","004","004","003","004","004","004","004","004","004","004","003","004","004","004","004","004","004","004","004","004",社員ID207：更新しました。,"0","207","2023-04-24 11:40:32","207","2023-04-24 11:40:32"
"000001","210","202208",蒲田,"201707",学士,,,,,,,,,4.0,,"004","004","005","004","004","003","003","004","003","004","001","002","003","003","003","002","002","002","004","001","002","003","002","003","001","003","003","002","002","003","002","002","002","002","002","002","002","003","002","002","003","003",社員ID210：更新しました。,"0","210","2022-08-28 22:30:00","210","2022-08-28 22:30:00"
"000001","211","1.0",JR:福工大前,"200303",学士,福岡工業大学,情報工学部情報工学科,,,,,,,18.0,"001","005","005","005","005","005","001","002","002","002","002","001","003","003","004","004","002","002","004","003","001","001","002","001","002","001","001","004","003","001","004","001","004","001","001","001","004","002","004","002","004","004","004",社員ID211：更新しました。,"0","211","2023-04-24 13:22:55","211","2023-04-24 13:22:55"
"000001","212","1.0",奈多駅,"201503",修士,九州産業大学 大学院,情報科学,普通自動車第一種免許,日本語能力試験N2,,,,,2.0,"005","003","004","004","004","003","001","001","002","002","001","002","004","004","004","004","004","004","002","004","003","004","004","004","004","004","004","004","004","004","004","004","004","003","004","004","004","004","004","004","004","004","004",社員ID212：更新しました。,"0","212","2023-04-27 17:10:06","212","2023-04-27 17:10:06"
"000001","214","1.0",城西橋（西鉄バス）,"200403",専門士,大阪大学歯学部付属歯科技工士学校,歯科技工士科,普通自動車第一種運転免許,普通自動二輪運転免許,歯科技工士免許,,,,0.0,"003","005","005","005","005","005","003","004","003","003","003","003","004","004","004","004","004","004","002","004","004","004","004","004","004","004","004","004","004","004","004","004","004","004","004","004","004","004","004","004","004","004","004",社員ID214：更新しました。,"0","214","2023-04-28 16:02:20","214","2023-04-28 16:02:20"
"000001","219","1.0",唐人町,"201803",学士,福岡大学,電子情報工学科,普通自動車運転免許,,,,,,0.0,"005","005","005","005","005","005","002","002","002","002","002","003","004","004","004","004","004","004","004","004","002","004","002","004","004","004","004","004","003","004","004","004","004","002","004","004","004","004","004","004","004","004","004",社員ID219：更新しました。,"0","219","2023-04-24 16:07:39","219","2023-04-24 16:07:39"
"000001","222","７月_経歴書",箱崎駅,"202203",短期大学士,福岡工業短期大学部,情報メディア学科,普通自動車第一種運転免許,日商簿記検定試験3級,文書デザイン１級,プレゼンテーション作成試験１級,情報処理技能検定試験１級,,3.0,"003","005","005","005","005","005","001","001","001","001","001","002","004","004","004","004","004","004","004","004","004","004","004","004","004","004","004","004","004","004","004","004","004","002","004","004","004","004","004","004","004","004","004",社員ID222：更新しました。,"0","222","2024-11-11 08:42:19","222","2024-11-11 08:42:19"
"000001","227","1.0",JR久留米駅,"201903",高度専門士,HAL東京,CG学部CG映像学科,CGクリエイター検定　ベーシック,普通自動車第一種運転免許,Azure Fundamentals,,,,2.5,"003","005","005","005","005","005","001","001","002","001","001","002","004","004","004","004","002","004","004","004","002","004","002","004","004","002","004","004","004","002","002","002","004","002","004","004","004","004","004","004","002","004","004",社員ID227：更新しました。,"0","227","2024-08-23 09:37:37","227","2024-08-23 09:37:37"
"000001","228","1.0",JR鹿児島本線　千早駅,"200703",学士,久留米大学,経済学部,Oracle 10g Silver,,,,,,15.0,"001","005","005","005","005","005","003","003","004","003","004","001","002","004","004","004","001","002","004","004","002","002","004","001","004","001","001","001","002","001","004","001","004","001","004","004","004","004","004","004","002","004","004",社員ID228：更新しました。,"0","228","2023-04-24 16:51:48","228","2023-04-24 16:51:48"
"000001","229","1.0",福岡地下鉄空港線西新駅,"202004",学士,聖学院大学,政治経済学部・政治経済学科,,,,,,,3.0,"005","004","005","004","004","004","002","002","002","002","002","001","004","004","004","004","002","004","003","004","002","002","002","002","004","002","003","004","004","002","004","002","003","002","002","003","004","004","004","004","004","004","004",社員ID229：更新しました。,"0","229","2023-04-24 17:12:00","229","2023-04-24 17:12:00"
"000001","232","1",ときわ台,"202103",学士,専修大学,商学部マーケティング学科,Azure Fundamentals (AZ-900),全商簿記検定３級,全商珠算電卓実務検定１級,全商ビジネス文書実務検定１級,全経電卓能力検定１級,普通自動車第一種免許,1.5,"003","003","005","005","005","005","001","002","002","002","002","002","004","004","004","004","003","004","004","004","003","004","004","004","004","003","004","004","004","004","004","003","004","003","004","004","004","004","004","004","004","004","004",社員ID232：更新しました。,"0","232","2024-08-23 13:52:20","232","2024-08-23 13:52:20"
"000001","238","1",西新駅,"202303",専門士,麻生情報ビジネス専門学校,情報システム科　プログラミング専攻,基本情報技術者試験,日本語能力試験 N1,Java プログラミング能力認定試験３級,Microsoft Certified: Azure Fundamentals (AZ-900),,,2.0,"005","002","004","004","004","004","002","003","003","003","003","001","001","004","004","004","002","002","001","004","001","002","002","003","004","002","004","004","003","002","003","002","003","001","002","003","004","001","004","002","004","004","001",社員ID238：更新しました。,"0","238","2024-11-22 12:06:36","238","2024-11-22 12:06:36"
"000001","239","1.0",西新駅,"202303",専門士,麻生情報ビジネス専門学校,情報システム科,日本語能力試験 N1,基本情報技術者試験,Javaプログラミング能力認定試験 2級,C言語プログラミング能力認定試験 3級,普通自動車第一種運転免許（AT限定）,,0.5,"003","003","004","004","004","003","002","003","003","003","002","002","004","004","004","004","003","003","003","004","002","004","002","003","003","002","004","004","004","004","004","003","004","003","004","004","004","004","004","004","004","004","004",社員ID239：更新しました。,"0","239","2024-08-20 13:50:18","239","2024-08-20 13:50:18"
"000001","242","1",福陵町,"202303",修士,九州大学,design,日本語能力試験N1,自動車運転免許証,AZ-900,,,,1.0,"005","003","004","004","003","004","003","004","004","003","004","002","004","004","004","004","003","004","001","004","004","004","004","004","004","002","004","004","003","004","004","004","004","002","004","004","004","004","004","004","004","004","004",社員ID242：更新しました。,"0","242","2024-08-19 11:28:41","242","2024-08-19 11:28:41"
