"company_code","user_id","target_date","sub_holiday_ope_kbn","sub_holiday_days","work_day_request_number","request_number","remark","registration_user","registration_datetime","update_user","update_datetime"
"000001","168","20230913","020",1.0,"20230731224959431000001168","20231020065031460000001168","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","168","20231030","020",1.0,"20231101131846909000001168","20231101202515827000001168","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","171","20230320","020",1.0,"20221219092942823000001171","20230317122835604000001171","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","175","20220812","020",1.0,"20220709090034147000001175","20220818092948704000001175","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","182","20221207","020",1.0,"20221024110341120000001182","20221219094423843000001182","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","182","20221215","020",1.0,"20220912194330240000001182","20221219094452865000001182","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","182","20230104","020",1.0,"20221229125755631000001182","20230201113726793000001182","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","182","20230105","020",1.0,"20221219094348702000001182","20230201113757298000001182","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","182","20230220","020",1.0,"20220430269753009000001182","20230227125844498000001182","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","186","20220714","020",1.0,"20220709090352354000001186","20220801102248032000001186","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","198","20230331","020",1.0,"20230317155645730000001198","20230403100455532000001198","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","198","20230428","020",1.0,"20230317155749005000001198","20230427190130375000001198","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","198","20230501","020",1.0,"20230320173332442000001198","20230427190314209000001198","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","198","20230502","020",1.0,"20230324193258156000001198","20230427190403255000001198","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","198","20230524","020",1.0,"20230529192127095000001198","20230525112548237000001198","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","207","20220712","020",1.0,"20220709090007062000001207","20220729181653164000001207","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","211","20221229","020",1.0,"20221101223816159000001211","20230105111323747000001211","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","211","20230428","020",0.5,"20221204013541531000001211","20230428185147666000001211","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","211","20230501","020",1.0,"20230529192624045000001211","20230531180509651000001211","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","211","20230502","020",1.0,"20230529192633031000001211","20230531180550837000001211","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","211","20230529","020",1.0,"20230404093925231000001211","20230531180752972000001211","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","215","20221114","020",0.5,"20220729145958254000001215","20221116093455040000001215","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","215","20230131","020",0.5,"20230130173210501000001215","20230202171135122000001215","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","215","20230720","020",0.5,"20230410115227065000001215","20230720161525562000001215","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","215","20231110","020",1.0,"20230731104506860000001215","20231114164008034000001215","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","222","20230210","020",1.0,"20221223170823967000001222","20230227184412574000001222","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","222","20230224","020",1.0,"20221216085845560000001222","20230227184436785000001222","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","222","20230428","020",1.0,"20221216085910977000001222","20230428124402315000001222","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","222","20230501","020",1.0,"20230529194222741000001222","20230523085212573000001222","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","222","20230502","020",1.0,"20230428124735618000001222","20230529195637491000001222","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","225","20231019","020",1.0,"20230612135719661000001225","20231019132207812000001225","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","225","20231124","020",1.0,"20230718153738045000001225","20231127125111562000001225","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","227","20221024","020",1.0,"20221101224702754000001227","20221108115930699000001227","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","227","20221025","020",1.0,"20221101225231536000001227","20221108115956695000001227","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","227","20230104","020",1.0,"20221217103427142000001227","20230201145856023000001227","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","227","20230113","020",1.0,"20221201212603298000001227","20230202093020645000001227","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","228","20221212","020",1.0,"20220903090434220000001228","20221215185641971000001228","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","228","20221213","020",1.0,"20221022171839041000001228","20221215185711047000001228","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","228","20221214","020",1.0,"20221110172251888000001228","20221215185726006000001228","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","228","20230130","020",1.0,"20221216184620050000001228","20230131085322544000001228","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","228","20230208","020",0.5,"20221225232707532000001228","20230209185634995000001228","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","228","20230310","020",1.0,"20221216184645882000001228","20230309090625926000001228","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","228","20230412","020",1.0,"20221225232825401000001228","20230410164313477000001228","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","228","20230501","020",1.0,"20230103204659354000001228","20230428183242353000001228","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","228","20230526","020",1.0,"20230529194916955000001228","20230530093640883000001228","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","229","20220906","020",1.0,"20221003091152519000001229","20221004105822255000001229","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","229","20221011","020",0.5,"20221003091225522000001229","20221012090255997000001229","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","229","20230106","020",1.0,"20221228090410000000001229","20230202081837470000001229","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","229","20230210","020",1.0,"20221228090534660000001229","20230210023813713000001229","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","229","20230324","020",1.0,"20221228090610808000001229","20230328012215543000001229","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","229","20230501","020",1.0,"20221228090719099000001229","20230410161934158000001229","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","229","20230502","020",1.0,"20230104141144749000001229","20230410162013617000001229","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","234","20230315","020",1.0,"20230222091321479000001234","20230313155337675000001234","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","234","20231017","020",0.5,"20230213061544523000001234","20231017114226361000001234","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","234","20231122","020",1.0,"20230818181529669000001234","20231120111249598000001234","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
"000001","234","20231204","020",1.0,"20231019114345216000001234","20231128154631500000001234","",createSubHolidayHistory,"2023-12-21 13:54:49",createSubHolidayHistory,"2023-12-21 13:54:49"
